index,stock_id,year,file_path,mda_sentence,audit_sentence,mda_score,audit_score
600539/2013,600539,2013,clean1\上证A股ST公司\600539\太原狮头水泥股份有限公司2013年年度报告.pdf.txt_total.md,47,16,-0.182909846,-0.177675138
600539/2014,600539,2014,clean1\上证A股ST公司\600539\太原狮头水泥股份有限公司2014年报.pdf.txt_total.md,38,11,-0.392294623,-0.161132116
600539/2017,600539,2017,clean1\上证A股ST公司\600539\狮头股份2017年年度报告.pdf.txt_total.md,45,49,-0.172295855,-0.088621856
600556/2016,600556,2016,clean1\上证A股ST公司\600556\ST慧球2016年年度报告（更正后）.pdf.txt_total.md,2,11,-0.999610435,-0.063449977
600556/2017,600556,2017,clean1\上证A股ST公司\600556\ST慧球2017年年度报告.pdf.txt_total.md,23,50,0.004425501,-0.099730089
600556/2018,600556,2018,clean1\上证A股ST公司\600556\ST慧球2018年年度报告.pdf.txt_total.md,18,44,0.068162564,-0.108578121
600556/2012,600556,2012,clean1\上证A股ST公司\600556\广西北生药业股份有限公司2012年年度报告.pdf.txt_total.md,10,23,-0.319943752,-0.198443063
600556/2013,600556,2013,clean1\上证A股ST公司\600556\广西北生药业股份有限公司2013年年度报告.pdf.txt_total.md,8,20,-0.281036734,-0.232464958
600556/2014,600556,2014,clean1\上证A股ST公司\600556\广西慧球科技股份有限公司2014年报.pdf.txt_total.md,127,11,0.095136291,-0.063518032
600556/2015,600556,2015,clean1\上证A股ST公司\600556\慧球科技2015年年度报告（修订稿）.pdf.txt_total.md,171,11,0.060528921,-0.06357906
600608/2018,600608,2018,clean1\上证A股ST公司\600608\ST沪科2018年年度报告.pdf.txt_total.md,20,43,0.193020517,-0.090733611
600608/2015,600608,2015,clean1\上证A股ST公司\600608\_ST沪科2015年报(修订版).pdf.txt_total.md,25,11,-0.050004642,-0.06329918
600608/2017,600608,2017,clean1\上证A股ST公司\600608\_ST沪科2017年年度报告.pdf.txt_total.md,28,44,-0.180758434,-0.107305473
600608/2012,600608,2012,clean1\上证A股ST公司\600608\上海宽频科技股份有限公司2012年年度报告.pdf.txt_total.md,50,12,0.122387361,-0.058992743
600608/2013,600608,2013,clean1\上证A股ST公司\600608\上海宽频科技股份有限公司2013年年度报告.pdf.txt_total.md,29,12,0.075515063,-0.058734203
600608/2014,600608,2014,clean1\上证A股ST公司\600608\上海宽频科技股份有限公司2014年报.pdf.txt_total.md,25,11,-0.050004633,-0.06329918
600608/2016,600608,2016,clean1\上证A股ST公司\600608\上海科技2016年年度报告.pdf.txt_total.md,23,11,0.052982615,-0.063190745
600610/2017,600610,2017,clean1\上证A股ST公司\600610\_ST毅达2017年年度报告.pdf.txt_total.md,52,36,-0.323929412,-0.663790819
600610/2014,600610,2014,clean1\上证A股ST公司\600610\上海中毅达股份有限公司2014年报.pdf.txt_total.md,38,11,0.311708255,-0.063496777
600610/2012,600610,2012,clean1\上证A股ST公司\600610\中国纺织机械股份有限公司2012年年度报告.pdf.txt_total.md,31,0,0.08163425,
600610/2013,600610,2013,clean1\上证A股ST公司\600610\中国纺织机械股份有限公司2013年年度报告.pdf.txt_total.md,25,0,0.132702152,
600610/2015,600610,2015,clean1\上证A股ST公司\600610\中毅达2015年年度报告（修订稿）.pdf.txt_total.md,38,11,0.122293946,-0.06364981
600610/2016,600610,2016,clean1\上证A股ST公司\600610\中毅达2016年年度报告（二次修订版）.pdf.txt_total.md,39,13,0.065861758,-0.066649332
600634/2017,600634,2017,clean1\上证A股ST公司\600634\_ST富控2017年年度报告（更正版）.pdf.txt_total.md,64,23,0.089064164,-0.53464016
600634/2018,600634,2018,clean1\上证A股ST公司\600634\_ST富控2018年年度报告.pdf.txt_total.md,108,63,-0.125787227,-0.156870919
